customer_id,customer_name,customer_type,email,phone_number,society_id,registration_date
CUST01920,Pooja Jain,Buyer,pooja.jain680@gmail.com,9515855750,SOC0912,2020-05-15
CUST04656,Amit Iyer,Owner,amit.iyer307@hotmail.com,9992110825,SOC0206,2025-01-10
CUST01840,Megha Malhotra,Seller,megha.malhotra110@nobroker.in,9264108040,SOC0696,2026-05-07
CUST04878,Priya Singh,buyer,priya.singh827@gmail.com,9844689969,SOC0492,2022-03-04
CUST03821,Karan Verma,Tenant,karan.verma728@hotmail.com,09691744681,SOC0113,2021-05-10
CUST07195,Rohit Singh,OWNER,rohit.singh209@outlook.com,9841986280,SOC0659,2021-03-05
CUST06512,Anjali Verma,Owner,anjali.verma111@yahoo.com,9239603661,SOC0930,2026-06-08
CUST05098,Vikas Verma,Buyer,vikas.verma294@gmail.com,9917716777,SOC0314,2021-07-09
CUST03468,Karan Jain,mc member,karan.jain789@yahoo.com,9642107569,SOC0610,2022-01-11
CUST01596,Nikhil Sharma,MC Member,nikhil.sharma256gmail.com,9805278401,SOC0816,2025-06-25
CUST06012,Vikas Reddy,Buyer,vikas.reddy141@gmail.com,9275107273,SOC0640,2025-01-11
CUST03096,RAHUL JAIN,Buyer,rahul.jain807@yahoo.com,9282438045,SOC0068,2022-03-29
CUST04626,Rahul Joshi,Buyer,rahul.joshi579@outlook.com,9915464589,SOC1001,2022-07-08
CUST00264,Divya Joshi,Owner,divya.joshi990@outlook.com,9491528845,SOC0771,2023-08-17
CUST00519,ROHIT MALHOTRA,Seller,rohit.malhotra560@outlook.com,9660247375,SOC1001,2020-07-02
CUST04343,Megha Verma,Owner,megha.verma936@outlook.com,9461865444,SOC1001,2022-05-06
CUST05322,Divya Nair,Tenant,divya.nair590@gmail.com,9482586441,SOC0371,2026-03-17
CUST00497,Vikas Singh,Tenant,vikas.singh90@outlook.com,9370774720,,2021-06-14
CUST07367,Sneha Singh ,Buyer,sneha.singh776@yahoo.com,9082795796,SOC0798,2022-07-24
